Lokasi Dialog,Nama Dialog,Nama Karakter,Avatar Karakter,Kalimat 1,Kalimat 2,Kalimat 3,Kalimat 4
Kamar,Tempat Tidur,Tempat Tidur,,Sebuah tempat tidur biru yang di tata rapi.,,,
Kamar,Meja Belajar,Meja Belajar,,Sebuah Meja Belajar Lengkap dengan berbagai macam buku dan Sebuah Komputer.,Ingin Belajar Apa?,,
Kamar,Lemari,Lemari,,sebuah lemari pakaian tua tempat kamu menyimpan baju,,,
Kamar,Kloset,Kloset,,sebuah ruangan kecil untuk menyimpan barang-barang lama.,,,
Lorong Rumah,Pintu,Pintu Gudang,,(terkunci),,,
Lorong Rumah,Bunga,Bunga,,tanaman bunga yang tumbuh subur.... Baunya harum,,,
Lorong Rumah,Foto Kucing,Foto,,Foto Kucing Peliharaanmu,,,
Ruang Tamu,Lampu,,,Ini adalah lampu,,,
Ruang Tamu,Meja Ruang tamu,,,"meja ruang tamu, tamu yang datang biasanya mencari ayah",,,
Ruang Tamu,Televisi,,,"Iklan mi instan sedang ditayangkan, malah jadi lapar nih",,,
Ruang Tamu,foto keluarga,Foto Keluarga,,"fotomu bersama ayah, ibu dan adikmu terpajang di rak. ",,,
Ruang Tamu,karpet,,,"badanku pegal - pegal dan banyak pikiran, apa aku harus melakukan agar mengurangi beban pikiranku",,,
Ruang Tamu,Ayah,Ayah,,"[player], bagaimana harimu di sekolah?",,,
Dapur,Ibu,Ibu,,"[player], bagaimana nilaimu di sekolah? Teruslah belajar dan tingkatkan prestasimu",,,
Dapur,Meja Makan,Meja Makan,,ada dua buah roti di atas meja,,,
Dapur,Tempat Cuci Piring,Kabinet Dapur,,"kabinet dapur ini memiliki wastafel unntuk mencuci piiiring, sebuah mikrowave, lemari tempat menyimpan bumbu dan peralatan dapur, serta sebuah rak di atasnya",,,
Dapur,Kulkas,Kulkas,,"bebrapa bahan makanan di kulkas sepertinya akan habis, mungkin ibu akan ke pasar untuk membelinya.",,,
Depan Rumah,Ibu,Ibu,,lihat kebun ibu sangat subur kan :) ,,,
Depan Rumah,Tanda Kebun,Tanda,,"""Kebun Ibu"" ",,,
Perumahan,Budi,Budi,,"hai [player] hari ini cuacanya sangat bagus, apa kau ingin jalan-jalan dengan ku atau mengobrol disini?",,,
Perumahan,Julia,,,"hai [player] hari ini cuacanya sangat bagus, apa kau ingin jalan-jalan dengan ku atau mengobrol disini?",,,
Perumahan,Tanda Rumah Biru,Tanda,,Rumah Budi,,,
Perumahan,Tanda Rumah Kuning,Tanda,,,,,
Perumahan,Tanda Rumah Pink,Tanda,,,,,
Perumahan,Tanda Rumah Merah,Tanda,,,,,
Perumahan,Pintu Rumah Biru,Rumah Budi,,,,,
Perumahan,Pintu Rumah Kuning,Rumah Julia,,,,,
Perumahan,Pintu Rumah Pink,Rumah bu Rahmi,,,,,
Perumahan,Pintu Rumah Merah,Rumah pak Rio,,,,,
Depan Sekolah,Npc Figuran Cowok,Adik Kelas,,,,,
Depan Sekolah,Npc Figuran Cewek,Adik Kelas,,,,,
Depan Sekolah,Sekolah Tutup,Sekloah,,,,,
Lorong Sekolah Lt 1,Tanda Pintu Kantin,Tanda,,,,,
Kantin,Ibu Kantin,Ibu Kantin,,,,,
Kantin,Display Jajan,Display Jajan,,,,,
Kantin,Kulkas,Kulkas Kantin,,,,,
Kantin,Meja Kantin,Meja Kantin,,,,,
Kantin,Npc Figuran Cewek,Adik Kelas,,,,,
Kantin,Npc Figuran Cowok,Adik Kelas,,,,,
Lorong Sekolah Lt 2,Tanda Pintu Kelas,Tanda,,,,,
Lorong Sekolah Lt 3,Loker,Loker,,,,,
Kelas,Budi,Budi,,,,,
Kelas,Julia,,,,,,
Kelas,Papan Tulis,Papan Tulis,,,,,
Kelas,Meja Guru,Meja Guru,,,,,
Kelas,Meja Kiri Atas (Meja Julia),Meja Siswa,,,,,
Kelas,Meja Tengah Atas (Mejamu),Meja Siswa,,,,,
Kelas,Meja Kanan Atas (Meja Budi),Meja Siswa,,,,,
Kelas,Meja Kiri Bawah,Meja Siswa,,,,,
Kelas,Meja Tengah Bawah,Meja Siswa,,,,,
Kelas,Meja Kanan Bawah,Meja Siswa,,,,,
Lorong Sekolah Lt 2 Bagian 2,Tanda Pintu Kanan,Tanda,,,,,
Lorong Sekolah Lt 2 Bagian 2,Pintu Ruang Kanan,Tanda,,,,,
Lorong Sekolah Lt 2 Bagian 2,Tanda Pintu Ruang Guru,,,,,,
Ruang Guru,Sofa ,Sofa,,,,,
Ruang Guru,Komputer Pak Rio,Komputer,,,,,
Ruang Guru,Rak Buku,Rak Buku,,,,,
Ruang Guru,Pak Rio,,,,,,
Ruang Guru,Bu Rahmi,,,,,,
Lorong Sekolah Lt 3,Tanda,,,,,,
Lorong Sekolah Lt 3,Pintu Atap,,,,,,
